,Model,Metric,Score
354,XGBoost,F1_score,1.0
355,CatBoost,F1_score,0.888888888888889
356,CatBoost,F1_score,0.9904761904761905
357,CatBoost,F1_score,0.702127659574468
358,CatBoost,F1_score,0.8627450980392156
359,CatBoost,F1_score,1.0
360,Decision Tree,F1_score,0.888888888888889
361,Decision Tree,F1_score,0.9292929292929293
362,Decision Tree,F1_score,0.6851851851851852
363,Decision Tree,F1_score,0.8163265306122449
364,Decision Tree,F1_score,0.8760330578512397
365,Linear SVM,F1_score,0.7741935483870969
366,Linear SVM,F1_score,0.9607843137254902
367,Linear SVM,F1_score,0.64
368,Linear SVM,F1_score,0.9111111111111111
369,Linear SVM,F1_score,0.8793103448275862
370,DT-based Bagging,F1_score,0.9534883720930233
371,DT-based Bagging,F1_score,0.9400000000000001
372,DT-based Bagging,F1_score,0.7142857142857142
373,DT-based Bagging,F1_score,0.8269230769230769
374,DT-based Bagging,F1_score,1.0
375,RandomForest,F1_score,0.888888888888889
376,RandomForest,F1_score,0.9607843137254902
377,RandomForest,F1_score,0.6875
378,RandomForest,F1_score,0.8224299065420562
379,RandomForest,F1_score,0.9904761904761905
380,AdaBoost,F1_score,0.9090909090909091
381,AdaBoost,F1_score,1.0
382,AdaBoost,F1_score,0.7096774193548386
383,AdaBoost,F1_score,0.8301886792452831
384,AdaBoost,F1_score,0.970873786407767
385,GradientBoost,F1_score,1.0
386,GradientBoost,F1_score,1.0
387,GradientBoost,F1_score,0.702127659574468
388,GradientBoost,F1_score,0.8301886792452831
389,GradientBoost,F1_score,1.0
390,XGBoost,F1_score,0.9411764705882353
391,XGBoost,F1_score,0.9807692307692307
392,XGBoost,F1_score,0.6881720430107527
393,XGBoost,F1_score,0.8349514563106797
394,XGBoost,F1_score,1.0
395,CatBoost,F1_score,0.888888888888889
396,CatBoost,F1_score,0.9904761904761905
397,CatBoost,F1_score,0.702127659574468
398,CatBoost,F1_score,0.8627450980392156
399,CatBoost,F1_score,1.0
400,Decision Tree,F1_score,0.888888888888889
401,Decision Tree,F1_score,0.9292929292929293
402,Decision Tree,F1_score,0.7551020408163266
403,Decision Tree,F1_score,0.8163265306122449
404,Decision Tree,F1_score,0.8760330578512397
405,Linear SVM,F1_score,0.7741935483870969
406,Linear SVM,F1_score,0.9607843137254902
407,Linear SVM,F1_score,0.64
408,Linear SVM,F1_score,0.9111111111111111
409,Linear SVM,F1_score,0.8793103448275862
410,DT-based Bagging,F1_score,0.9156626506024096
411,DT-based Bagging,F1_score,0.9904761904761905
412,DT-based Bagging,F1_score,0.702127659574468
413,DT-based Bagging,F1_score,0.8653846153846153
414,DT-based Bagging,F1_score,0.9904761904761905
415,RandomForest,F1_score,0.888888888888889
416,RandomForest,F1_score,0.9807692307692307
417,RandomForest,F1_score,0.6947368421052631
418,RandomForest,F1_score,0.8224299065420562
419,RandomForest,F1_score,0.9904761904761905
420,AdaBoost,F1_score,0.9
421,AdaBoost,F1_score,1.0
422,AdaBoost,F1_score,0.7096774193548386
423,AdaBoost,F1_score,0.8411214953271028
424,AdaBoost,F1_score,0.9904761904761905
425,GradientBoost,F1_score,1.0
426,GradientBoost,F1_score,1.0
427,GradientBoost,F1_score,0.702127659574468
428,GradientBoost,F1_score,0.8301886792452831
429,GradientBoost,F1_score,1.0
430,XGBoost,F1_score,0.9411764705882353
431,XGBoost,F1_score,0.9807692307692307
432,XGBoost,F1_score,0.6881720430107527
